Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459101006113,-8.764915,0.024415,-3.759880,-0.003122,-0.007395,0.000986,,,,4636921958842236900.000000,0.000873,0.838938,0.001900,-0.544223,-8.850358,0.659228,-3.503525,-0.003203,0.000002,0.002135,,,,4636916268010569700.000000,0.085367,0.829358,0.052053,-0.549698,-2.192509,-1.480788,9.357123,-0.000224,-0.001490,0.002558,,,,4636915086894563300.000000,0.990402,-0.074959,0.115697,0.009980,-2.465892,0.708042,9.277632,0.004273,-0.006409,0.003204,,,,4636916053262204900.000000,0.990709,0.036982,0.130860,-0.001699,-9.382760,0.569015,-1.558563,-0.010616,-0.009853,-0.002965,,,,4636918844990947300.000000,0.146615,0.750437,0.121665,-0.632887
1763459101013925,-8.764915,0.024415,-3.760826,-0.002054,-0.006243,0.000083,,,,4636921958842236900.000000,0.000865,0.838930,0.001900,-0.544235,-8.850368,0.671398,-3.503525,-0.005339,0.000000,0.000002,,,,4636916268010569700.000000,0.085383,0.829351,0.052073,-0.549704,-2.210670,-1.485611,9.355693,0.001068,-0.003626,0.003204,,,,4636915086894563300.000000,0.990404,-0.074950,0.115680,0.009987,-2.453688,0.756859,9.302041,0.006409,-0.007477,0.003204,,,,4636916053262204900.000000,0.990711,0.037011,0.130838,-0.001696,-9.365821,0.556808,-1.513718,-0.013886,-0.008131,-0.003444,,,,4636918761735757800.000000,0.146644,0.750409,0.121699,-0.632908
1763459101021737,-8.766806,0.023470,-3.772088,-0.001151,-0.004273,0.000985,,,,4636921958842236900.000000,0.000856,0.838927,0.001895,-0.544240,-8.850368,0.671407,-3.503525,-0.005341,0.000000,0.002134,,,,4636916268010569700.000000,0.085403,0.829345,0.052085,-0.549709,-2.213234,-1.489303,9.380106,0.000323,-0.004273,0.001715,,,,4636914937123177500.000000,0.990407,-0.074944,0.115661,0.009989,-2.478103,0.744652,9.314249,0.006409,-0.003204,0.004273,,,,4636916053262204900.000000,0.990711,0.037040,0.130832,-0.001688,-9.369795,0.554064,-1.518449,-0.012230,-0.007063,-0.002136,,,,4636918630242582500.000000,0.146671,0.750384,0.121725,-0.632925
1763459101029549,-8.787443,0.013151,-3.771144,-0.001971,-0.004438,0.000000,,,,4636921958842236900.000000,0.000847,0.838923,0.001895,-0.544246,-8.862564,0.622621,-3.466935,-0.001072,0.000000,0.002136,,,,4636916268010569700.000000,0.085409,0.829340,0.052088,-0.549715,-2.192513,-1.472277,9.396006,-0.000745,-0.004273,0.001068,,,,4636914947027732500.000000,0.990409,-0.074943,0.115641,0.009989,-2.465895,0.756859,9.302041,0.001068,-0.001068,0.004273,,,,4636916053262204900.000000,0.990710,0.037048,0.130834,-0.001676,-9.394970,0.537887,-1.525925,-0.006716,-0.006823,-0.001308,,,,4636918630242582500.000000,0.146684,0.750364,0.121736,-0.632944
1763459101037361,-8.766800,0.024415,-3.758938,-0.000082,-0.006244,0.000082,,,,4636921958842236900.000000,0.000833,0.838915,0.001890,-0.544258,-8.862575,0.622578,-3.491292,-0.000001,0.000000,0.003203,,,,4636916268010569700.000000,0.085415,0.829336,0.052086,-0.549721,-2.176613,-1.473401,9.399700,-0.002558,-0.003528,0.000323,,,,4636914979520380900.000000,0.990411,-0.074949,0.115624,0.009986,-2.453688,0.769066,9.314249,0.000000,-0.001068,0.004273,,,,4636916053262204900.000000,0.990710,0.037052,0.130837,-0.001664,-9.382762,0.509966,-1.535388,0.000348,-0.008305,0.000000,,,,4636918630242582500.000000,0.146681,0.750344,0.121724,-0.632970
1763459101045173,-8.787446,0.025357,-3.750499,-0.001315,-0.004273,0.001068,,,,4636921958842236900.000000,0.000825,0.838912,0.001885,-0.544263,-8.862575,0.598188,-3.503512,0.001067,-0.001067,0.002137,,,,4636916268010569700.000000,0.085414,0.829330,0.052084,-0.549731,-2.181429,-1.477096,9.399700,-0.001715,-0.000225,0.000000,,,,4636914979520380900.000000,0.990411,-0.074953,0.115619,0.009981,-2.453688,0.781271,9.302044,0.004271,-0.000000,0.004273,,,,4636916053262204900.000000,0.990708,0.037073,0.130844,-0.001655,-9.375286,0.524918,-1.545611,0.004273,-0.010027,0.000828,,,,4636918630242582500.000000,0.146668,0.750323,0.121700,-0.633003
1763459101052985,-8.765856,0.036622,-3.783354,-0.004108,-0.004108,0.000986,,,,4636921958842236900.000000,0.000825,0.838909,0.001887,-0.544268,-8.862575,0.634743,-3.503525,0.005336,0.001066,0.002136,,,,4636916268010569700.000000,0.085400,0.829329,0.052074,-0.549734,-2.176615,-1.502628,9.399700,0.001166,0.000323,0.000000,,,,4636914979520380900.000000,0.990412,-0.074945,0.115617,0.009974,-2.429280,0.805682,9.314246,0.004273,0.000000,0.004273,,,,4636916053262204900.000000,0.990707,0.037094,0.130850,-0.001645,-9.365830,0.529646,-1.533405,0.005514,-0.010268,0.001723,,,,4636918630242582500.000000,0.146655,0.750303,0.121669,-0.633036
1763459101060797,-8.777122,0.035682,-3.769266,-0.002301,-0.002054,0.000165,,,,4636921958842236900.000000,0.000818,0.838910,0.001887,-0.544266,-8.874768,0.683558,-3.491331,0.007475,0.001068,0.003203,,,,4636916268010569700.000000,0.085381,0.829330,0.052056,-0.549738,-2.172918,-1.513718,9.408211,0.000647,0.001489,-0.000745,,,,4636914979520380900.000000,0.990413,-0.074940,0.115619,0.009964,-2.404865,0.793484,9.314249,0.003205,0.000000,0.001069,,,,4636916053262204900.000000,0.990705,0.037109,0.130857,-0.001647,-9.346144,0.541853,-1.516471,0.005823,-0.008372,0.000655,,,,4636918713398471700.000000,0.146636,0.750287,0.121642,-0.633065
1763459101068609,-8.778062,0.025354,-3.737344,-0.004355,-0.001150,0.002136,,,,4636921975363456000.000000,0.000822,0.838913,0.001885,-0.544261,-8.874783,0.647039,-3.479126,0.006410,0.001068,0.005338,,,,4636916268010569700.000000,0.085369,0.829331,0.052033,-0.549741,-2.181428,-1.505208,9.411908,0.000000,0.001392,-0.000324,,,,4636914979520380900.000000,0.990413,-0.074937,0.115620,0.009956,-2.417061,0.769076,9.277640,0.002137,0.000000,0.001068,,,,4636916053262204900.000000,0.990704,0.037120,0.130865,-0.001649,-9.343390,0.539880,-1.510963,0.003204,-0.003100,0.000414,,,,4636918844990947300.000000,0.146623,0.750282,0.121625,-0.633076
